fieldmap_name:      	LDE05
timestamp:          	2026-01-19_12-14-28
filename:           	2026-01-19_LDE05_Fieldmap_X=-130_130mm_Z=-350_350mm_Imc=12.5A_ID=5479.dat
nr_magnets:         	1
magnet_name:        	LDE05
gap[mm]:            	--
control_gap[mm]:    	--
magnet_length[mm]:  	--
current_main[A]:    	12.5
nr_turns_main:      	 
center_pos_z[mm]:   	0
center_pos_x[mm]:   	0
rotation[deg]:      	0

X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
---------------------------------------------------------------------------------------------
-130.000	0.000	-350.000	-9.9071762969e-06	2.2557965943e-04	-5.5239161778e-05
-125.000	0.000	-350.000	-6.0820043417e-06	2.4165931286e-04	-5.5805211601e-05
-120.000	0.000	-350.000	-4.1518922270e-06	2.5935509760e-04	-5.4790915519e-05
-115.000	0.000	-350.000	-7.1119443835e-06	2.7574951421e-04	-5.7342585136e-05
-110.000	0.000	-350.000	-6.6644686232e-06	2.9205930101e-04	-5.6733562945e-05
-105.000	0.000	-350.000	-5.8700199423e-07	3.0808773094e-04	-5.2025865860e-05
-100.000	0.000	-350.000	-2.6603063564e-06	3.2361654833e-04	-5.4115212065e-05
-95.000	0.000	-350.000	1.7644831360e-06	3.3957296863e-04	-5.0136563439e-05
-90.000	0.000	-350.000	-2.1285559933e-06	3.5578253577e-04	-5.2273327432e-05
-85.000	0.000	-350.000	1.9695761939e-06	3.7034553451e-04	-4.9160794305e-05
-80.000	0.000	-350.000	1.0865573560e-06	3.8533242434e-04	-4.9832793245e-05
-75.000	0.000	-350.000	2.0180527348e-06	3.9854060459e-04	-5.0184722128e-05
-70.000	0.000	-350.000	4.3225529134e-06	4.1264185140e-04	-4.8728107005e-05
-65.000	0.000	-350.000	2.0061200478e-06	4.2538902215e-04	-4.8817015354e-05
-60.000	0.000	-350.000	6.6867165301e-06	4.3656311880e-04	-4.4337516349e-05
-55.000	0.000	-350.000	4.7014157262e-06	4.4749223456e-04	-4.5766718067e-05
-50.000	0.000	-350.000	7.8963926785e-06	4.5828104308e-04	-4.3255798097e-05
-45.000	0.000	-350.000	7.9553103207e-06	4.6813595486e-04	-4.1837709921e-05
-40.000	0.000	-350.000	1.0366458898e-05	4.7713343361e-04	-3.8911884314e-05
-35.000	0.000	-350.000	1.0137500465e-05	4.8397285371e-04	-3.9798745103e-05
-30.000	0.000	-350.000	6.2228333218e-06	4.9243731348e-04	-3.8963006615e-05
-25.000	0.000	-350.000	9.0486427712e-06	4.9715653561e-04	-3.6514322482e-05
-20.000	0.000	-350.000	1.0608095811e-05	5.0222466986e-04	-3.4552411562e-05
-15.000	0.000	-350.000	1.1356126131e-05	5.0627130817e-04	-3.2709786010e-05
-10.000	0.000	-350.000	7.4697991168e-06	5.0888221020e-04	-3.3946352977e-05
-5.000	0.000	-350.000	9.0732539383e-06	5.0979160882e-04	-3.2246721687e-05
0.000	0.000	-350.000	1.2916324965e-05	5.1048646361e-04	-2.8067288331e-05
5.000	0.000	-350.000	9.4476419945e-06	5.0971514510e-04	-2.9115665959e-05
10.000	0.000	-350.000	1.2474815543e-05	5.0684293017e-04	-2.4799906460e-05
15.000	0.000	-350.000	1.4130475875e-05	5.0480736197e-04	-2.2529039012e-05
20.000	0.000	-350.000	1.4348247415e-05	5.0078967594e-04	-2.1894085210e-05
25.000	0.000	-350.000	1.2320436404e-05	4.9716989820e-04	-1.9538754826e-05
30.000	0.000	-350.000	8.8360917832e-06	4.9109808480e-04	-2.0891643559e-05
35.000	0.000	-350.000	1.2774624306e-05	4.8307087874e-04	-1.7446444977e-05
40.000	0.000	-350.000	9.3186198157e-06	4.7622180787e-04	-1.7370872879e-05
45.000	0.000	-350.000	1.1237545053e-05	4.6745446265e-04	-1.5526765507e-05
50.000	0.000	-350.000	1.2946902476e-05	4.5827733125e-04	-1.2103794004e-05
55.000	0.000	-350.000	1.2780590650e-05	4.4680999999e-04	-1.0840554520e-05
60.000	0.000	-350.000	1.4099898365e-05	4.3685932293e-04	-8.4415108521e-06
65.000	0.000	-350.000	1.5530329229e-05	4.2397629919e-04	-5.4497448414e-06
70.000	0.000	-350.000	1.5185027097e-05	4.1284080556e-04	-3.2870492011e-06
75.000	0.000	-350.000	8.0567381606e-06	3.9919834109e-04	-7.3879468933e-06
80.000	0.000	-350.000	7.3579301759e-06	3.8496940724e-04	-5.0578071938e-06
85.000	0.000	-350.000	9.4633036462e-06	3.7187703609e-04	-2.8773298830e-06
90.000	0.000	-350.000	7.3176573571e-06	3.5723683126e-04	-2.1505041122e-06
95.000	0.000	-350.000	4.4560498494e-06	3.4179412846e-04	-1.6748444334e-06
100.000	0.000	-350.000	6.9179123414e-06	3.2715615064e-04	3.0573025640e-06
105.000	0.000	-350.000	7.6898080341e-06	3.1089981433e-04	3.4440538925e-06
110.000	0.000	-350.000	9.1127809641e-06	2.9558851022e-04	5.0836720735e-06
115.000	0.000	-350.000	6.4234516225e-06	2.7933365853e-04	6.8773980649e-06
120.000	0.000	-350.000	9.3477057404e-06	2.6514406974e-04	8.1858326387e-06
125.000	0.000	-350.000	4.8207425964e-06	2.4875113783e-04	6.2372579340e-06
130.000	0.000	-350.000	8.1417585558e-06	2.3316367326e-04	1.0860492217e-05
-130.000	0.000	-349.000	-1.0365838950e-05	2.3252449590e-04	-5.6654286334e-05
-125.000	0.000	-349.000	-6.7673880480e-06	2.4914088012e-04	-5.6608350354e-05
-120.000	0.000	-349.000	-4.6903547260e-06	2.6662509044e-04	-5.4372305375e-05
-115.000	0.000	-349.000	-7.0433314336e-06	2.8351911952e-04	-5.6903229711e-05
-110.000	0.000	-349.000	-7.4132447287e-06	3.0011768677e-04	-5.6666140781e-05
-105.000	0.000	-349.000	-7.9358663762e-07	3.1680756502e-04	-5.2192569015e-05
-100.000	0.000	-349.000	-2.5342673503e-06	3.3334971232e-04	-5.3897386610e-05
-95.000	0.000	-349.000	2.4640369115e-06	3.4838856789e-04	-5.1076028329e-05
-90.000	0.000	-349.000	-1.0501394077e-06	3.6590024541e-04	-5.2325190636e-05
-85.000	0.000	-349.000	1.8450287733e-06	3.8029918118e-04	-4.9957264934e-05
-80.000	0.000	-349.000	1.4161978343e-06	3.9618136467e-04	-5.0249921584e-05
-75.000	0.000	-349.000	1.1745609226e-06	4.0958107538e-04	-4.9665349187e-05
-70.000	0.000	-349.000	4.2106839726e-06	4.2447888114e-04	-4.8198361424e-05
-65.000	0.000	-349.000	1.4169436272e-06	4.3669748709e-04	-4.9013354626e-05
-60.000	0.000	-349.000	6.7008865960e-06	4.4919448034e-04	-4.4807989699e-05
-55.000	0.000	-349.000	4.4217433742e-06	4.5971232518e-04	-4.6195700853e-05
-50.000	0.000	-349.000	8.5325540565e-06	4.7091908587e-04	-4.3239498233e-05
-45.000	0.000	-349.000	7.4325094698e-06	4.8075989266e-04	-4.1834005407e-05
-40.000	0.000	-349.000	1.0287404846e-05	4.8942850315e-04	-3.9731322937e-05
-35.000	0.000	-349.000	9.9338989919e-06	4.9817506207e-04	-3.9807635937e-05
-30.000	0.000	-349.000	6.6546474337e-06	5.0537378740e-04	-3.9992120763e-05
-25.000	0.000	-349.000	8.7838862774e-06	5.1089031084e-04	-3.7475273563e-05
-20.000	0.000	-349.000	1.0089769717e-05	5.1562363791e-04	-3.4678365058e-05
-15.000	0.000	-349.000	1.1588813528e-05	5.1892345579e-04	-3.3669996189e-05
-10.000	0.000	-349.000	8.1574202075e-06	5.2248161711e-04	-3.3899676093e-05
-5.000	0.000	-349.000	8.7540545597e-06	5.2313192992e-04	-3.2296362182e-05
0.000	0.000	-349.000	1.3414514650e-05	5.2422988957e-04	-2.8559988771e-05
5.000	0.000	-349.000	9.5468324556e-06	5.2351499090e-04	-2.8750400821e-05
10.000	0.000	-349.000	1.3031922871e-05	5.2104588083e-04	-2.4692475537e-05
15.000	0.000	-349.000	1.4475032215e-05	5.1857974022e-04	-2.2395676487e-05
20.000	0.000	-349.000	1.4050676030e-05	5.1459917252e-04	-2.1281358495e-05
25.000	0.000	-349.000	1.3134096504e-05	5.0972999243e-04	-1.9578022681e-05
30.000	0.000	-349.000	8.5773016329e-06	5.0451783914e-04	-2.1222827164e-05
35.000	0.000	-349.000	1.2752996311e-05	4.9646390791e-04	-1.6883358757e-05
40.000	0.000	-349.000	9.2776012040e-06	4.8857775145e-04	-1.8062135305e-05
45.000	0.000	-349.000	1.0624503255e-05	4.8037015038e-04	-1.6196541748e-05
50.000	0.000	-349.000	1.2469594993e-05	4.7022274634e-04	-1.2274201677e-05
55.000	0.000	-349.000	1.2931986617e-05	4.5946882906e-04	-1.0741273528e-05
60.000	0.000	-349.000	1.3628557225e-05	4.4814922868e-04	-8.2577669268e-06
65.000	0.000	-349.000	1.5694403677e-05	4.3549039958e-04	-6.4381093436e-06
70.000	0.000	-349.000	1.5096277736e-05	4.2341135848e-04	-4.2198459849e-06
75.000	0.000	-349.000	7.3773207923e-06	4.1029151988e-04	-7.6057723532e-06
80.000	0.000	-349.000	7.6443146648e-06	3.9638922721e-04	-4.7555188002e-06
85.000	0.000	-349.000	8.7637498680e-06	3.8192199380e-04	-2.6906223455e-06
90.000	0.000	-349.000	6.9589309531e-06	3.6706204859e-04	-1.7355984734e-06
95.000	0.000	-349.000	5.1593325906e-06	3.5117763791e-04	-1.6489128309e-06
100.000	0.000	-349.000	7.7621499493e-06	3.3602891213e-04	2.1985960704e-06
105.000	0.000	-349.000	7.0558840353e-06	3.1976737929e-04	2.9024538520e-06
110.000	0.000	-349.000	1.0111397712e-05	3.0376715931e-04	5.9260787037e-06
115.000	0.000	-349.000	6.6345110244e-06	2.8693400433e-04	5.2103664743e-06
120.000	0.000	-349.000	9.0382016701e-06	2.7232349390e-04	7.9865297506e-06
125.000	0.000	-349.000	4.4388966118e-06	2.5586671851e-04	6.7781170724e-06
130.000	0.000	-349.000	9.0091157454e-06	2.3940920069e-04	1.0350751001e-05
-130.000	0.000	-348.000	-9.3970539310e-06	2.3889548323e-04	-5.6939533954e-05
-125.000	0.000	-348.000	-6.4772745967e-06	2.5658013249e-04	-5.6237157997e-05
-120.000	0.000	-348.000	-4.7283901657e-06	2.7366123790e-04	-5.5299915817e-05
-115.000	0.000	-348.000	-6.5227679657e-06	2.9196576286e-04	-5.7499656553e-05
-110.000	0.000	-348.000	-7.8607204888e-06	3.0910403035e-04	-5.7056596613e-05
-105.000	0.000	-348.000	-9.2484619442e-07	3.2536482086e-04	-5.2835672741e-05
-100.000	0.000	-348.000	-2.3567686316e-06	3.4265898515e-04	-5.4347855579e-05
-95.000	0.000	-348.000	3.1471832426e-06	3.5834666880e-04	-5.1531683619e-05
-90.000	0.000	-348.000	-1.1515672471e-06	3.7548864789e-04	-5.2678601324e-05
-85.000	0.000	-348.000	2.3544053497e-06	3.9123349364e-04	-5.0325493681e-05
-80.000	0.000	-348.000	1.9076753800e-06	4.0720179157e-04	-4.9996532789e-05
-75.000	0.000	-348.000	1.1879851955e-06	4.2085019495e-04	-4.9946151391e-05
-70.000	0.000	-348.000	4.7655539189e-06	4.3594101589e-04	-4.8234665666e-05
-65.000	0.000	-348.000	2.1247011249e-06	4.4857237744e-04	-4.9248961751e-05
-60.000	0.000	-348.000	6.5002682953e-06	4.6169889723e-04	-4.5133246077e-05
-55.000	0.000	-348.000	4.5060179763e-06	4.7202001499e-04	-4.6478725766e-05
-50.000	0.000	-348.000	8.3013582450e-06	4.8350367825e-04	-4.3413610417e-05
-45.000	0.000	-348.000	7.3474890747e-06	4.9380846391e-04	-4.2086653300e-05
-40.000	0.000	-348.000	1.0400765373e-05	5.0308210285e-04	-4.0259586715e-05
-35.000	0.000	-348.000	9.9480690577e-06	5.1137878782e-04	-3.9727618423e-05
-30.000	0.000	-348.000	6.8686900074e-06	5.1868738333e-04	-4.0074360987e-05
-25.000	0.000	-348.000	9.1895976370e-06	5.2446076547e-04	-3.8007241856e-05
-20.000	0.000	-348.000	1.0567077199e-05	5.2963505806e-04	-3.4955462748e-05
-15.000	0.000	-348.000	1.1943065176e-05	5.3272107446e-04	-3.4140469541e-05
-10.000	0.000	-348.000	8.3848870543e-06	5.3605578353e-04	-3.3678887024e-05
-5.000	0.000	-348.000	8.6190660375e-06	5.3750562477e-04	-3.2806844292e-05
0.000	0.000	-348.000	1.3483127601e-05	5.3833187838e-04	-2.8611111072e-05
5.000	0.000	-348.000	9.4871690203e-06	5.3796440710e-04	-2.9090475260e-05
10.000	0.000	-348.000	1.2835779327e-05	5.3557695732e-04	-2.5145167220e-05
15.000	0.000	-348.000	1.4467574285e-05	5.3306330529e-04	-2.2537929847e-05
20.000	0.000	-348.000	1.4210275720e-05	5.2853041712e-04	-2.1173927572e-05
25.000	0.000	-348.000	1.3183318838e-05	5.2361521034e-04	-1.9825484257e-05
30.000	0.000	-348.000	8.3647506449e-06	5.1779505912e-04	-2.1027228794e-05
35.000	0.000	-348.000	1.2552378009e-05	5.1009226715e-04	-1.7280482723e-05
40.000	0.000	-348.000	9.9935624271e-06	5.0228628625e-04	-1.8494081708e-05
45.000	0.000	-348.000	1.0452225086e-05	4.9279364927e-04	-1.5642346363e-05
50.000	0.000	-348.000	1.2085511628e-05	4.8294467648e-04	-1.2807651781e-05
55.000	0.000	-348.000	1.2729130937e-05	4.7160651700e-04	-1.0490107437e-05
60.000	0.000	-348.000	1.2807439195e-05	4.6032329260e-04	-8.4644788427e-06
65.000	0.000	-348.000	1.5144008485e-05	4.4717078998e-04	-6.3573509248e-06
70.000	0.000	-348.000	1.5592230044e-05	4.3468938641e-04	-4.5821475156e-06
75.000	0.000	-348.000	7.8337460715e-06	4.2191845997e-04	-8.1332952355e-06
80.000	0.000	-348.000	7.7069612717e-06	4.0712681258e-04	-5.0237256592e-06
85.000	0.000	-348.000	8.5422493647e-06	3.9232996858e-04	-3.0388467209e-06
90.000	0.000	-348.000	7.4981392485e-06	3.7693403497e-04	-1.8326567567e-06
95.000	0.000	-348.000	4.9236620220e-06	3.6055001184e-04	-1.9356422635e-06
100.000	0.000	-348.000	7.9635140431e-06	3.4530626321e-04	1.6473642921e-06
105.000	0.000	-348.000	6.8567573204e-06	3.2842856641e-04	3.0498935347e-06
110.000	0.000	-348.000	9.7429759990e-06	3.1235039800e-04	6.4469334630e-06
115.000	0.000	-348.000	6.7322098995e-06	2.9535837667e-04	5.4326373530e-06
120.000	0.000	-348.000	8.4900438589e-06	2.7979837981e-04	7.8879896609e-06
125.000	0.000	-348.000	3.5282834340e-06	2.6286426294e-04	7.1885772953e-06
130.000	0.000	-348.000	8.7853778632e-06	2.4632582723e-04	1.0431509420e-05
-130.000	0.000	-347.000	-9.4067492391e-06	2.4609717842e-04	-5.7508547388e-05
-125.000	0.000	-347.000	-6.6629770373e-06	2.6396667684e-04	-5.6583900558e-05
-120.000	0.000	-347.000	-4.1026698933e-06	2.8172036607e-04	-5.5718525961e-05
-115.000	0.000	-347.000	-6.6957919264e-06	2.9998554558e-04	-5.8084969850e-05
-110.000	0.000	-347.000	-7.4221942439e-06	3.1723813745e-04	-5.7777495143e-05
-105.000	0.000	-347.000	-7.3541478859e-07	3.3422941633e-04	-5.2768250576e-05
-100.000	0.000	-347.000	-2.9832346975e-06	3.5230380751e-04	-5.4730902383e-05
-95.000	0.000	-347.000	3.0442638172e-06	3.6756908474e-04	-5.1610219327e-05
-90.000	0.000	-347.000	-9.6661059886e-07	3.8584242995e-04	-5.3307627894e-05
-85.000	0.000	-347.000	2.3618632790e-06	4.0204680037e-04	-5.0721135835e-05
-80.000	0.000	-347.000	2.2216542068e-06	4.1803959635e-04	-5.0920438718e-05
-75.000	0.000	-347.000	1.6294946144e-06	4.3258255102e-04	-5.0587773311e-05
-70.000	0.000	-347.000	4.4985600469e-06	4.4733188345e-04	-4.8560662947e-05
-65.000	0.000	-347.000	1.9196080670e-06	4.6105749280e-04	-5.0481083292e-05
-60.000	0.000	-347.000	6.3637881874e-06	4.7343199557e-04	-4.5625946514e-05
-55.000	0.000	-347.000	5.2973042843e-06	4.8533880758e-04	-4.7522657968e-05
-50.000	0.000	-347.000	8.3185114826e-06	4.9637927816e-04	-4.3175780582e-05
-45.000	0.000	-347.000	7.5660064061e-06	5.0722970297e-04	-4.2777174815e-05
-40.000	0.000	-347.000	1.0465649359e-05	5.1684779982e-04	-4.1047166512e-05
-35.000	0.000	-347.000	9.5296792179e-06	5.2454762232e-04	-4.0186237327e-05
-30.000	0.000	-347.000	6.6777670149e-06	5.3310487779e-04	-4.0334417909e-05
-25.000	0.000	-347.000	8.7644956609e-06	5.3873052904e-04	-3.8216917380e-05
-20.000	0.000	-347.000	1.0668505039e-05	5.4355516712e-04	-3.5640057042e-05
-15.000	0.000	-347.000	1.1651460136e-05	5.4726254404e-04	-3.3572197004e-05
-10.000	0.000	-347.000	8.2245415721e-06	5.5077690573e-04	-3.4408676396e-05
-5.000	0.000	-347.000	9.1448500606e-06	5.5248286331e-04	-3.3243977012e-05
0.000	0.000	-347.000	1.3201963662e-05	5.5292382885e-04	-2.8565915994e-05
5.000	0.000	-347.000	9.3596384275e-06	5.5254225261e-04	-2.9382391010e-05
